State,Year,Forecasted_CVD_Deaths,Lower_80,Upper_80,Lower_95,Upper_95,Forecasted_CVD_DALY
Andhra Pradesh,2020,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2021,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2022,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2023,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2024,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2025,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2026,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2027,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2028,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2029,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Andhra Pradesh,2030,5516.2555555555555,5421.3815409635745,5611.1295701475365,5371.158271397511,5661.3528397136,NA
Arunachal Pradesh,2020,1962.63,1933.6045168298883,1991.655483170112,1918.239354179114,2007.020645820886,NA
Arunachal Pradesh,2021,1962.63,1921.581768046396,2003.678231953604,1899.8521466376023,2025.407853362398,NA
Arunachal Pradesh,2022,1962.63,1912.3563884351313,2012.903611564869,1885.7431460574303,2039.51685394257,NA
Arunachal Pradesh,2023,1962.63,1904.5790336597763,2020.6809663402237,1873.848708358228,2051.411291641772,NA
Arunachal Pradesh,2024,1962.63,1897.727046551854,2027.532953448146,1863.369498379382,2061.8905016206186,NA
Arunachal Pradesh,2025,1962.63,1891.5323766954857,2033.7276233045145,1853.8955683862189,2071.3644316137816,NA
Arunachal Pradesh,2026,1962.63,1885.8357898483937,2039.4242101516063,1845.183390620387,2080.0766093796133,NA
Arunachal Pradesh,2027,1962.63,1880.533536092792,2044.726463907208,1837.0742932752048,2088.1857067247956,NA
Arunachal Pradesh,2028,1962.63,1875.553550489665,2049.7064495103355,1829.458062537342,2095.8019374626583,NA
Arunachal Pradesh,2029,1962.63,1870.8433629955623,2054.4166370044377,1822.254452400165,2103.005547599835,NA
Arunachal Pradesh,2030,1962.63,1866.363362965964,2058.8966370340363,1815.4028836105629,2109.857116389437,NA
Assam,2020,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2021,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2022,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2023,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2024,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2025,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2026,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2027,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2028,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2029,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Assam,2030,4141.16111111111,3718.851411882668,4563.4708103395515,3495.294161186275,4787.028061035945,NA
Bihar,2020,3496.7335206118664,3404.3707477536686,3589.096293470064,3355.47684926022,3637.9901919635126,NA
Bihar,2021,3492.556832828057,3377.671774421292,3607.441891234822,3316.855298147045,3668.258367509069,NA
Bihar,2022,3489.4673465049364,3363.958309467557,3614.976383542316,3297.5178386261555,3681.416854383717,NA
Bihar,2023,3487.182060595429,3356.224378733039,3618.1397424578186,3286.899569551018,3687.46455163984,NA
Bihar,2024,3485.491639877555,3351.646567361728,3619.3367123933817,3280.7932658970326,3690.190013858077,NA
Bihar,2025,3484.2412395702977,3348.8423830196716,3619.6400961209242,3277.166557971856,3691.3159211687394,NA
Bihar,2026,3483.31632134618,3347.0748078771817,3619.557834815178,3274.952907202177,3691.679735490183,NA
Bihar,2027,3482.632161468466,3345.931784578178,3619.3325383587544,3273.5669762808852,3691.697346656047,NA
Bihar,2028,3482.12608998445,3345.1752954922235,3619.0768844766767,3272.677924123996,3691.574255844904,NA
Bihar,2029,3481.751750074618,3344.6641325373957,3618.83936761184,3272.0943314242977,3691.4091687249384,NA
Bihar,2030,3481.474851706464,3344.312428842664,3618.637274570264,3271.703028181704,3691.246675231224,NA
Chhattisgarh,2020,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2021,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2022,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2023,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2024,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2025,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2026,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2027,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2028,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2029,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Chhattisgarh,2030,5404.8677777777775,5328.862651379394,5480.872904176161,5288.627967858041,5521.107587697514,NA
Delhi,2020,3759.72,3505.483825693654,4013.9561743063464,3370.8993246525097,4148.540675347491,NA
Delhi,2021,3834.38,3265.890631911525,4402.869368088475,2964.9505388656344,4703.809461134366,NA
Delhi,2022,3909.04,2957.775340421513,4860.304659578487,2454.20624795563,5363.87375204437,NA
Delhi,2023,3983.7,2591.1911239859896,5376.2088760140105,1854.0414528778656,6113.358547122134,NA
Delhi,2024,4058.36,2172.8940687442873,5943.825931255712,1174.7886957364262,6941.931304263573,NA
Delhi,2025,4133.0199999999995,1707.7614691090484,6558.278530890951,423.9071546461728,7842.132845353826,NA
Delhi,2026,4207.679999999999,1199.5170181072722,7215.842981892727,-392.9082733488567,8808.268273348855,NA
Delhi,2027,4282.339999999999,651.12111448937,7913.558885510629,-1271.1300490635997,9835.8100490636,NA
Delhi,2028,4356.999999999999,64.99939272032134,8649.000607279677,-2207.0484847111256,10921.048484711124,NA
Delhi,2029,4431.659999999999,-556.8139595874218,9420.13395958742,-3197.5525588035825,12060.87255880358,NA
Delhi,2030,4506.319999999999,-1212.581324285894,10225.221324285892,-4239.984813708782,13252.62481370878,NA
Goa,2020,5627.403749998423,5573.736766629547,5681.0707333673,5545.327181727673,5709.480318269174,NA
Goa,2021,5695.767499996847,5619.870924264929,5771.664075728764,5579.69370399531,5811.841295998383,NA
Goa,2022,5764.13124999527,5671.177308111422,5857.085191879119,5621.9704636394345,5906.292036351106,NA
Goa,2023,5832.494999993694,5725.16103325594,5939.828966731448,5668.341863452193,5996.648136535196,NA
Goa,2024,5900.858749992118,5780.855727031958,6020.8617729522775,5717.329963978817,6084.387536005418,NA
Goa,2025,5969.222499990541,5837.765774702361,6100.679225278721,5768.176787888494,6170.268212092588,NA
Goa,2026,6037.5862499889645,5895.5967583798765,6179.575741598052,5820.432061878943,6254.740438098986,NA
Goa,2027,6105.949999987388,5954.156848523554,6257.743151451222,5873.802407984314,6338.097591990461,NA
Goa,2028,6174.313749985811,6013.312799879181,6335.314700092442,5928.084045173559,6420.543454798063,NA
Goa,2029,6242.677499984235,6072.967597388208,6412.387402580262,5983.128601718355,6502.2263982501145,NA
Goa,2030,6311.041249982659,6133.048002517851,6489.0344974474665,6038.82406894859,6583.258431016728,NA
Gujarat,2020,5377.074999995916,5253.599811895636,5500.5501880961965,5188.235995645736,5565.914004346097,NA
Gujarat,2021,5455.069999991832,5280.449714363847,5629.690285619818,5188.011318934776,5722.128681048889,NA
Gujarat,2022,5533.064999987749,5319.19970072394,5746.930299251558,5205.986250002516,5860.143749972982,NA
Gujarat,2023,5611.059999983665,5364.109623783105,5858.010376184225,5233.381991283304,5988.738008684026,NA
Gujarat,2024,5689.05499997958,5412.956085852781,5965.1539141063795,5266.798149449198,6111.311850509963,NA
Gujarat,2025,5767.0499999754975,5464.598793235638,6069.501206715357,5304.4907957823425,6229.6092041686525,NA
Gujarat,2026,5845.044999971413,5518.36035917115,6171.729640771676,5345.423956631791,6344.666043311035,NA
Gujarat,2027,5923.03999996733,5573.79942871136,6272.2805712233,5388.922637853216,6457.157362081444,NA
Gujarat,2028,6001.034999963245,5630.609435662405,6371.460564264085,5434.517986912704,6567.552013013787,NA
Gujarat,2029,6079.0299999591625,5688.567171044559,6469.4928288737665,5481.868635134148,6676.1913647841775,NA
Gujarat,2030,6157.024999955078,5747.504130107893,6566.545869802263,5530.716876741239,6783.333123168917,NA
Haryana,2020,4588.07,4492.285565651666,4683.854434348334,4441.5803489788195,4734.55965102118,NA
Haryana,2021,4588.07,4452.610353880351,4723.5296461196485,4380.902348778544,4795.237651221455,NA
Haryana,2022,4588.07,4422.166493134439,4753.97350686556,4334.342481648281,4841.797518351718,NA
Haryana,2023,4588.07,4396.501131303332,4779.6388686966675,4295.090697957639,4881.04930204236,NA
Haryana,2024,4588.07,4373.889493610759,4802.25050638924,4260.509182316419,4915.63081768358,NA
Haryana,2025,4588.07,4353.447010545467,4822.692989454533,4229.245102399731,4946.894897600268,NA
Haryana,2026,4588.07,4334.648207243315,4841.491792756685,4200.494813753317,4975.645186246682,NA
Haryana,2027,4588.07,4317.150707760701,4858.989292239298,4173.73469755709,5002.4053024429095,NA
Haryana,2028,4588.07,4300.716696954998,4875.423303045001,4148.601046936458,5027.538953063541,NA
Haryana,2029,4588.07,4285.173023068398,4890.9669769316015,4124.829049129859,5051.31095087014,NA
Haryana,2030,4588.07,4270.388970510146,4905.751029489854,4102.218791892642,5073.921208107357,NA
Himachal Pradesh,2020,4825.42249999505,4675.764492387631,4975.080507602469,4596.540328731101,5054.304671258999,NA
Himachal Pradesh,2021,4919.1249999901,4707.476615913953,5130.773384066248,4595.436729203221,5242.813270776979,NA
Himachal Pradesh,2022,5012.82749998515,4753.612227049572,5272.042772920729,4616.391950409308,5409.263049560992,NA
Himachal Pradesh,2023,5106.5299999802,4807.2139847653625,5405.846015195038,4648.765657452302,5564.294342508098,NA
Himachal Pradesh,2024,5200.23249997525,4865.587021587881,5534.877978362619,4688.43640619131,5712.02859375919,NA
Himachal Pradesh,2025,5293.9349999703,4927.349245410562,5660.520754530038,4733.290469153313,5854.579530787287,NA
Himachal Pradesh,2026,5387.63749996535,4991.679630126708,5783.595369803992,4782.072195264445,5993.202804666254,NA
Himachal Pradesh,2027,5481.3399999604,5058.043231808106,5904.636768112694,4833.963458386643,6128.716541534157,NA
Himachal Pradesh,2028,5575.042499955449,5126.0684771331935,6024.016522777704,4888.3959861636,6261.689013747297,NA
Himachal Pradesh,2029,5668.744999950499,5195.48482582825,6142.005174072748,4944.956022951678,6392.533976949319,NA
Himachal Pradesh,2030,5762.447499945549,5266.088041839587,6258.80695805151,5003.331216661164,6521.5637832299335,NA
Jammu & Kashmir and Ladakh,2020,4298.135000002541,4225.342394067992,4370.92760593709,4186.808316154354,4409.461683850729,NA
Jammu & Kashmir and Ladakh,2021,4361.730000005082,4258.785709451961,4464.674290558202,4204.290293852953,4519.16970615721,NA
Jammu & Kashmir and Ladakh,2022,4425.325000007623,4299.244508113644,4551.4054919016025,4232.501527344405,4618.148472670841,NA
Jammu & Kashmir and Ladakh,2023,4488.920000010164,4343.334788141065,4634.505211879263,4266.266632313788,4711.573367706539,NA
Jammu & Kashmir and Ladakh,2024,4552.515000012705,4389.7457848836975,4715.284215141713,4303.58096721853,4801.4490328068805,NA
Jammu & Kashmir and Ladakh,2025,4616.1100000152455,4437.805258428109,4794.4147416023825,4343.416429831044,4888.803570199447,NA
Jammu & Kashmir and Ladakh,2026,4679.705000017786,4487.113867430644,4872.296132604928,4385.16228026997,4974.247719765602,NA
Jammu & Kashmir and Ladakh,2027,4743.300000020327,4537.411418914087,4949.188581126567,4428.42058771607,5058.1794123245845,NA
Jammu & Kashmir and Ladakh,2028,4806.895000022869,4588.517182219221,5025.272817826517,4472.914948478306,5140.875051567432,NA
Jammu & Kashmir and Ladakh,2029,4870.490000025409,4640.299568453143,5100.680431597675,4518.444114711658,5222.535885339161,NA
Jammu & Kashmir and Ladakh,2030,4934.08500002795,4692.659238630851,5175.510761425048,4564.856160548993,5303.313839506906,NA
Jharkhand,2020,2821.75,2569.4746428466233,3074.0253571533767,2435.928135705778,3207.571864294222,NA
Jharkhand,2021,2821.75,2464.9787684611783,3178.5212315388217,2276.1154868550393,3367.3845131449607,NA
Jharkhand,2022,2821.75,2384.7962639127672,3258.7037360872328,2153.4869283714625,3490.0130716285375,NA
Jharkhand,2023,2821.75,2317.199285693247,3326.300714306753,2050.1062714115556,3593.3937285884444,NA
Jharkhand,2024,2821.75,2257.645152357012,3385.854847642988,1959.0260842324203,3684.473915767579,NA
Jharkhand,2025,2821.75,2203.8041002958416,3439.6958997041584,1876.6833008698195,3766.816699130181,NA
Jharkhand,2026,2821.75,2154.2921430621664,3489.2078569378336,1800.961296706177,3842.538703293823,NA
Jharkhand,2027,2821.75,2108.207536922357,3535.292463077643,1730.4809737100786,3913.0190262899214,NA
Jharkhand,2028,2821.75,2064.9239285398708,3578.5760714601292,1664.2844071173336,3979.2155928826664,NA
Jharkhand,2029,2821.75,2023.9852738628783,3619.5147261371217,1601.674137737865,4041.825862262135,NA
Jharkhand,2030,2821.75,1985.047296469349,3658.452703530651,1542.123640220646,4101.376359779354,NA
Karnataka,2020,6452.308750000419,6277.94860726622,6626.668892734619,6185.6479231666035,6718.969576834235,NA
Karnataka,2021,6552.527500000838,6305.945021408825,6799.109978592851,6175.412142138833,6929.642857862843,NA
Karnataka,2022,6652.746250001257,6350.745623970663,6954.746876031852,6190.876149536763,7114.616350465752,NA
Karnataka,2023,6752.965000001675,6404.244714533276,7101.685285470075,6219.6433463340445,7286.286653669306,NA
Karnataka,2024,6853.183750002094,6463.302618281858,7243.06488172233,6256.912014265382,7449.455485738806,NA
Karnataka,2025,6953.402500002512,6526.30911882488,7380.495881180144,6300.219539871,7606.585460134024,NA
Karnataka,2026,7053.6212500029305,6592.307673766513,7514.934826239348,6348.1030177977955,7759.139482208066,NA
Karnataka,2027,7153.84000000335,6660.675042819323,7647.004957187377,6399.60928427934,7908.07071572736,NA
Karnataka,2028,7254.058750003768,6730.97832180117,7777.1391782063665,6454.076269502321,8054.041230505215,NA
Karnataka,2029,7354.277500004187,6802.902315812058,7905.652684196315,6511.021924465583,8197.53307554279,NA
Karnataka,2030,7454.496250004606,6876.209078162454,8032.783421846758,6570.082341110905,8338.910158898307,NA
Kerala,2020,6205.769999999999,6108.287878363485,6303.252121636512,6056.683960326732,6354.8560396732655,NA
Kerala,2021,6333.089999999997,6115.11334942985,6551.066650570145,5999.723480794342,6666.4565192056525,NA
Kerala,2022,6460.409999999996,6095.66529950034,6825.154700499653,5902.581118391645,7018.238881608348,NA
Kerala,2023,6587.729999999995,6053.798430262186,7121.661569737804,5771.152130618413,7404.307869381577,NA
Kerala,2024,6715.049999999994,5992.103237000407,7437.996762999581,5609.39833812803,7820.701661871957,NA
Kerala,2025,6842.369999999993,5912.44982733634,7772.290172663645,5420.179823716682,8264.560176283303,NA
Kerala,2026,6969.689999999991,5816.26598194512,8123.114018054863,5205.680189493192,8733.69981050679,NA
Kerala,2027,7097.00999999999,5704.68681054065,8489.33318945933,4967.635435956923,9226.384564043055,NA
Kerala,2028,7224.329999999989,5578.642377440511,8870.017622559468,4707.46797373479,9741.192026265187,NA
Kerala,2029,7351.649999999988,5438.912653963928,9264.387346036048,4426.370666021496,10276.92933397848,NA
Kerala,2030,7478.969999999987,5286.163897397537,9671.776102602436,4125.362465406506,10832.577534593467,NA
Madhya Pradesh,2020,4251.57,4173.5863897153295,4329.55361028467,4132.304360089982,4370.835639910018,NA
Madhya Pradesh,2021,4251.57,4141.2845206926,4361.855479307399,4082.902914514147,4420.237085485853,NA
Madhya Pradesh,2022,4251.57,4116.498424829299,4386.6415751707,4044.995852078635,4458.1441479213645,NA
Madhya Pradesh,2023,4251.57,4095.602779430659,4407.537220569341,4013.038720179965,4490.1012798200345,NA
Madhya Pradesh,2024,4251.57,4077.1933462726247,4425.946653727375,3984.8839217811887,4518.256078218811,NA
Madhya Pradesh,2025,4251.57,4060.549946502498,4442.590053497501,3959.430038373939,4543.709961626059,NA
Madhya Pradesh,2026,4251.57,4045.2447608477823,4457.895239152217,3936.0227768431137,4567.117223156886,NA
Madhya Pradesh,2027,4251.57,4030.9990413852015,4472.1409586147975,3914.2358290282946,4588.904170971705,NA
Madhya Pradesh,2028,4251.57,4017.619169145988,4485.520830854011,3893.773080269947,4609.366919730052,NA
Madhya Pradesh,2029,4251.57,4004.964171337509,4498.175828662491,3874.418931286865,4628.721068713135,NA
Madhya Pradesh,2030,4251.57,3992.927624888447,4510.212375111552,3856.0106220368352,4647.129377963164,NA
Maharashtra,2020,5266,5072.568032399348,5459.431967600652,4970.171334069662,5561.828665930338,NA
Maharashtra,2021,5266,4992.445888022646,5539.554111977354,4847.635088502577,5684.364911497423,NA
Maharashtra,2022,5266,4930.966004307655,5601.033995692345,4753.6097202733345,5778.3902797266655,NA
Maharashtra,2023,5266,4879.136064798698,5652.863935201302,4674.342668139324,5857.657331860676,NA
Maharashtra,2024,5266,4833.472971423406,5698.527028576594,4604.506993286688,5927.493006713312,NA
Maharashtra,2025,5266,4792.190379435837,5739.809620564163,4541.370717182406,5990.629282817594,NA
Maharashtra,2026,5266,4754.227118118773,5777.772881881227,4483.31091926432,6048.68908073568,NA
Maharashtra,2027,5266,4718.891776045291,5813.108223954709,4429.2701770051535,6102.7298229948465,NA
Maharashtra,2028,5266,4685.704097198046,5846.295902801954,4378.514002208986,6153.485997791014,NA
Maharashtra,2029,5266,4654.314410094046,5877.685589905954,4330.507618491078,6201.492381508922,NA
Maharashtra,2030,5266,4624.458741008457,5907.541258991543,4284.847312877675,6247.152687122325,NA
Manipur,2020,3652.3062499999614,3608.8844707472294,3695.7280292526934,3585.898369296513,3718.71413070341,NA
Manipur,2021,3676.912499999923,3615.504830878339,3738.320169121507,3582.997574460652,3770.8274255391943,NA
Manipur,2022,3701.5187499998847,3626.310022179113,3776.727477820657,3586.4969265985396,3816.5405734012297,NA
Manipur,2023,3726.1249999998463,3639.2814414943823,3812.9685585053103,3593.3092385929504,3858.940761406743,NA
Manipur,2024,3750.731249999808,3653.63719988671,3847.825300112907,3602.2387145052016,3899.223785494415,NA
Manipur,2025,3775.33749999977,3668.976297106808,3881.698702892733,3612.6720773767047,3938.0029226228353,NA
Manipur,2026,3799.943749999731,3685.0605206130585,3914.8269793864047,3624.2450125635623,3975.642487435901,NA
Manipur,2027,3824.5499999996937,3701.7346617565254,3947.365338242862,3636.720148921152,4012.379851078236,NA
Manipur,2028,3849.1562499996553,3718.8909122414593,3979.4215877578513,3649.9326078893105,4048.37989211,NA
Manipur,2029,3873.762499999617,3736.45077750394,4011.074222495294,3663.762342391976,4083.762657607258,NA
Manipur,2030,3898.3687499995785,3754.355000488628,4042.382499510529,3678.118726583558,4118.618773415599,NA
Meghalaya,2020,2091.2681245526464,2038.4574275781983,2144.0788215270945,2010.5011333123127,2172.0351157929804,NA
Meghalaya,2021,2077.098048559823,2011.5364485960356,2142.65964852361,1976.830234019532,2177.365863100114,NA
Meghalaya,2022,2066.6737752749495,1995.1533885432557,2138.1941620066436,1957.2927827942235,2176.054767755675,NA
Meghalaya,2023,2059.0051167883785,1984.4582856861284,2133.5519478906285,1944.9955770630609,2173.014656513696,NA
Meghalaya,2024,2053.363637389619,1977.2290893259787,2129.498185453259,1936.9258941135176,2169.8013806657204,NA
Meghalaya,2025,2049.2134604241996,1972.233316159784,2126.1936046886153,1931.4824893580171,2166.944431490382,NA
Meghalaya,2026,2046.1603660801736,1968.726447138907,2123.59428502144,1927.7354065334368,2164.58532562691,NA
Meghalaya,2027,2043.9143449704245,1966.2359546279372,2121.5927353129114,1925.1154986800525,2162.713191260796,NA
Meghalaya,2028,2042.262050525181,1964.4516758049583,2120.072425245404,1923.2613515479263,2161.2627495024353,NA
Meghalaya,2029,2041.0465334839869,1963.164823835522,2118.9282431324514,1921.936737148535,2160.1563298194383,NA
Meghalaya,2030,2040.1523334933695,1962.232045556261,2118.0726214304777,1920.983536756873,2159.321130229866,NA
Mizoram,2020,1367.9177777777777,1305.634880696552,1430.2006748590034,1272.6643065839426,1463.1712489716128,NA
Mizoram,2021,1367.9177777777777,1305.634880696552,1430.2006748590034,1272.6643065839426,1463.1712489716128,NA
Mizoram,2022,1367.9177777777777,1305.634880696552,1430.2006748590034,1272.6643065839426,1463.1712489716128,NA
Mizoram,2023,1367.9177777777777,1305.634880696552,1430.2006748590034,1272.6643065839426,1463.1712489716128,NA
Mizoram,2024,1367.9177777777777,1305.634880696552,1430.2006748590034,1272.6643065839426,1463.1712489716128,NA
Mizoram,2025,1367.9177777777777,1305.634880696552,1430.2006748590034,1272.6643065839426,1463.1712489716128,NA
Mizoram,2026,1367.9177777777777,1305.634880696552,1430.2006748590034,1272.6643065839426,1463.1712489716128,NA
Mizoram,2027,1367.9177777777777,1305.634880696552,1430.2006748590034,1272.6643065839426,1463.1712489716128,NA
Mizoram,2028,1367.9177777777777,1305.634880696552,1430.2006748590034,1272.6643065839426,1463.1712489716128,NA
Mizoram,2029,1367.9177777777777,1305.634880696552,1430.2006748590034,1272.6643065839426,1463.1712489716128,NA
Mizoram,2030,1367.9177777777777,1305.634880696552,1430.2006748590034,1272.6643065839426,1463.1712489716128,NA
Nagaland,2020,2944.7612500001014,2903.201406593874,2986.321093406329,2881.200954441713,3008.32154555849,NA
Nagaland,2021,2969.5925000002035,2910.8180058050143,3028.3669941953926,2879.7046679930877,3059.4803320073192,NA
Nagaland,2022,2994.423750000305,2922.4399896661125,3066.4075103344976,2884.3340887490813,3104.513411251529,NA
Nagaland,2023,3019.2550000004067,2936.1353131879514,3102.374686812862,2892.134408883629,3146.3755911171843,NA
Nagaland,2024,3044.0862500005087,2951.1556150099373,3137.01688499108,2901.9611084619733,3186.211391539044,NA
Nagaland,2025,3068.9175000006103,2967.1170898653804,3170.71791013584,2913.2272079820696,3224.607792019151,NA
Nagaland,2026,3093.748750000712,2983.791739821046,3203.7057601803776,2925.584014695452,3261.913485305972,NA
Nagaland,2027,3118.580000000814,3001.0310116104356,3236.1289883911923,2938.8043359865824,3298.3556640150455,NA
