State,Year,Forecasted_CVD_Prevalences,Lower_80,Upper_80,Lower_95,Upper_95
Andhra Pradesh,2020,3919679.6356301233,3890672.3463586215,3948686.924901625,3875316.81497599,3964042.4562842567
Andhra Pradesh,2021,4027481.377490037,3986458.8755945996,4068503.8793854746,3964742.874855837,4090219.8801242374
Andhra Pradesh,2022,4135283.119349951,4085041.020541862,4185525.2181580397,4058444.460009926,4212121.778689976
Andhra Pradesh,2023,4243084.861209865,4185070.282666861,4301099.439752868,4154359.2199015985,4331810.502518131
Andhra Pradesh,2024,4350886.6030697785,4286024.3324157,4415748.873723857,4251688.320413505,4450084.885726052
Andhra Pradesh,2025,4458688.344929692,4387635.287393204,4529741.402466181,4350022.0707764635,4567354.619082921
Andhra Pradesh,2026,4566490.086789606,4489744.0131691005,4643236.160410112,4449117.09588141,4683863.077697802
Andhra Pradesh,2027,4674291.82864952,4592246.824858645,4756336.832440395,4548814.823381119,4799768.8339179205
Andhra Pradesh,2028,4782093.570509434,4695071.702694928,4869115.438323939,4649005.108547034,4915182.032471834
Andhra Pradesh,2029,4889895.312369347,4798166.2095240345,4981624.415214659,4749607.755672725,5030182.869065968
Andhra Pradesh,2030,4997697.054229261,4901490.759530388,5093903.348928135,4850562.223477673,5144831.88498085
Arunachal Pradesh,2020,56655.30174148959,56562.22075330278,56748.38272967639,56512.946654580526,56797.65682839865
Arunachal Pradesh,2021,58040.91325585528,57832.777838856724,58249.04867285384,57722.59760458374,58359.228907126824
Arunachal Pradesh,2022,59426.524770220974,59078.247603203585,59774.801937238364,58893.88080774285,59959.1687326991
Arunachal Pradesh,2023,60812.13628458667,60302.310715538806,61321.96185363453,60032.42536182967,61591.847207343664
Arunachal Pradesh,2024,62197.74779895236,61507.44071518399,62888.05488272073,61142.01421878704,63253.481379117686
Arunachal Pradesh,2025,63583.359313318055,62695.42327793782,64471.29534869829,62225.37833408139,64941.34029255472
Arunachal Pradesh,2026,64968.97082768375,63867.621722877935,66070.31993248955,63284.60272431561,66653.33893105188
Arunachal Pradesh,2027,66354.58234204944,65025.11991166118,67684.0447724377,64321.34501284937,68387.81967124951
Arunachal Pradesh,2028,67740.19385641514,66168.80591796,69311.58179487028,65336.963391159596,70143.42432167067
Arunachal Pradesh,2029,69125.80537078083,67299.42449886349,70952.18624269817,66332.5968669235,71919.01387463816
Arunachal Pradesh,2030,70511.41688514652,68417.61183140171,72605.22193889134,67309.21838894801,73713.61538134504
Assam,2020,1622484.431089757,1618876.4873483928,1626092.3748311212,1616966.5573018882,1628002.3048776258
Assam,2021,1667456.542160984,1662354.1391896673,1672558.9451323005,1659653.090214717,1675259.9941072508
Assam,2022,1712428.6532322108,1706179.5113613177,1718677.7951031039,1702871.4154818696,1721985.890982552
Assam,2023,1757400.764303438,1750184.8768207093,1764616.6517861665,1746365.0167277004,1768436.5118791754
Assam,2024,1802372.875374665,1794305.2679099794,1810440.4828393506,1790034.5344937262,1814711.2162556038
Assam,2025,1847344.986445892,1838507.3652588814,1856182.6076329025,1833829.0112005353,1860860.9616912485
Assam,2026,1892317.0975171188,1882771.3756331569,1901862.8194010807,1877718.175708576,1906916.0193256615
Assam,2027,1937289.208588346,1927084.402645713,1947494.0145309789,1921682.304695812,1952896.1124808798
Assam,2028,1982261.319659573,1971437.4884354803,1993085.1508836658,1965707.6982959667,1998814.9410231793
Assam,2029,2027233.4307308,2015824.1108383394,2038642.7506232604,2009784.381719794,2044682.479741806
Assam,2030,2072205.5418020268,2060239.3461472103,2084171.7374568433,2053904.824807129,2090506.2587969245
Bihar,2020,4996749.043322718,4984723.30474923,5008774.781896206,4978357.26329199,5015140.823353445
Bihar,2021,5112707.953530677,5085817.584600716,5139598.322460637,5071582.683154747,5153833.223906606
Bihar,2022,5228666.863738636,5183670.670173732,5273663.0573035395,5159851.124130743,5297482.6033465285
Bihar,2023,5344625.773946594,5278758.091073,5410493.456820189,5243889.84599157,5445361.701901619
Bihar,2024,5460584.684154553,5371399.419939643,5549769.948369464,5324187.592915676,5596981.775393431
Bihar,2025,5576543.594362512,5461825.35985009,5691261.8288749345,5401097.194811029,5751989.993913995
Bihar,2026,5692502.504570471,5550212.046867562,5834792.96227338,5474888.028540467,5910116.980600475
Bihar,2027,5808461.41477843,5636699.5121325655,5980223.317424295,5545774.253252542,6071148.576304318
Bihar,2028,5924420.324986389,5721402.491661836,6127438.158310941,5613931.342542374,6234909.307430404
Bihar,2029,6040379.235194348,5804417.205470107,6276341.264918589,5679506.452223691,6401252.018165004
Bihar,2030,6156338.145402307,5885825.8454077095,6426850.445396904,5742625.2838841695,6570051.006920444
Chhattisgarh,2020,1563964.7229287603,1559875.957845068,1568053.4880124526,1557711.4963550202,1570217.9495025005
Chhattisgarh,2021,1599125.2835709704,1589982.5268998067,1608268.0402421341,1585142.6438733793,1613107.9232685615
Chhattisgarh,2022,1634285.8442131805,1618987.0861349998,1649584.6022913612,1610888.4128123743,1657683.2756139867
Chhattisgarh,2023,1669446.4048553905,1647051.3161686128,1691841.4935421683,1635196.072339108,1703696.737371673
Chhattisgarh,2024,1704606.9654976006,1674283.872069832,1734930.0589253693,1658231.7960419622,1750982.134953239
Chhattisgarh,2025,1739767.5261398107,1700763.1931526212,1778771.8591270002,1680115.5464994812,1799419.5057801402
Chhattisgarh,2026,1774928.0867820207,1726549.1658830692,1823307.0076809723,1700938.9121579295,1848917.261406112
Chhattisgarh,2027,1810088.6474242308,1751689.4010116034,1868487.8938368582,1720774.707376575,1899402.5874718865
Chhattisgarh,2028,1845249.208066441,1776222.9089171882,1914275.5072156936,1739682.5933815832,1950815.8227512985
Chhattisgarh,2029,1880409.768708651,1800182.4045165982,1960637.1329007037,1757712.603320553,2003106.934096749
Chhattisgarh,2030,1915570.329350861,1823595.8331344181,2007544.825567304,1774907.4758793048,2056233.1828224172
Delhi,2020,949616.7419981345,947809.2685743513,951424.2154219177,946852.4499408555,952381.0340554136
Delhi,2021,980576.852527108,978020.6990975649,983133.0059566512,976667.5532093439,984486.1518448722
Delhi,2022,1011536.9630560817,1008406.3272527587,1014667.5988594047,1006749.0687659153,1016324.857346248
Delhi,2023,1042497.0735850551,1038882.1267374887,1046112.0204326215,1036968.4894704971,1048025.657699613
Delhi,2024,1073457.1841140287,1069415.550670925,1077498.8175571323,1067276.03916429,1079638.3290637673
Delhi,2025,1104417.294643002,1099989.9070310919,1108844.6822549123,1097646.1896026402,1111188.399683364
Delhi,2026,1135377.4051719757,1130595.2799912868,1140159.5303526646,1128063.7758372645,1142691.034506687
Delhi,2027,1166337.5157009494,1161225.208841863,1171449.8225600356,1158518.9170654211,1174156.1143364776
Delhi,2028,1197297.6262299228,1191875.2059585731,1202720.0465012724,1189004.750058086,1205590.5024017596
Delhi,2029,1228257.7367588961,1222542.0039295184,1233973.469588274,1219516.277739982,1236999.1957778104
Delhi,2030,1259217.8472878698,1253223.1361226419,1265212.5584530977,1250049.7277229158,1268385.9668528237
Goa,2020,106747.70956534002,106566.89662241419,106928.52250826584,106471.18003223246,107024.23909844758
Goa,2021,109223.48452448503,108819.17449289109,109627.79455607897,108605.14569067025,109841.82335829981
Goa,2022,111699.25948363004,111022.7194001073,112375.79956715279,110664.58071341699,112733.9382538431
Goa,2023,114175.03444277505,113184.68116748138,115165.38771806873,112660.41981178123,115689.64907376887
Goa,2024,116650.80940192007,115309.86472814626,117991.75407569387,114600.01149685051,118701.60730698962
Goa,2025,119126.58436106508,117401.73881726,120851.42990487015,116488.66074125681,121764.50798087334
Goa,2026,121602.35932021009,119462.95172787768,123741.7669125425,118330.41775971487,124874.30088070531
Goa,2027,124078.1342793551,121495.60889763715,126660.65966107305,120128.50254122309,128027.76601748711
Goa,2028,126553.90923850011,123501.43543944685,129606.38303755337,121885.55341830011,131222.2650587001
Goa,2029,129029.68419764513,125481.878068943,132577.49032634727,123603.78295157885,134455.5854437114
Goa,2030,131505.45915679014,127438.17258135369,135572.74573222658,125285.08112676443,137725.83718681586
Gujarat,2020,3572250.4955519526,3565965.609077595,3578535.38202631,3562638.591148068,3581862.399955837
Gujarat,2021,3641691.370618162,3622806.25813325,3660576.4831030746,3612809.083467519,3670573.6577688055
Gujarat,2022,3704451.471932613,3665821.2669926016,3743081.676872624,3645371.671764253,3763531.2721009725
Gujarat,2023,3761642.7075559846,3695872.324392548,3827413.0907194214,3661055.5866663493,3862229.82844562
Gujarat,2024,3814191.9262158102,3713839.203665592,3914544.6487660287,3660715.6812974983,3967668.171134122
Gujarat,2025,3862871.7174760182,3720571.3351290114,4005172.099823025,3645242.063012687,4080501.3719393495
Gujarat,2026,3908326.085710311,3716865.7326787063,4099786.4387419154,3615512.7440561242,4201139.427364497
Gujarat,2027,3951091.8510528333,3703457.891435943,4198725.810669723,3572368.3917342867,4329815.31037138
Gujarat,2028,3991616.488502502,3681019.5611827155,4302213.415822288,3516599.4797277586,4466633.497277245
Gujarat,2029,4030272.9979934073,3650160.2265169322,4410385.769469882,3448940.680053473,4611605.315933342
Gujarat,2030,4067372.2995795594,3611430.537766556,4523314.061392562,3370069.5485806367,4764675.050578482
Haryana,2020,1509118.2280587072,1506267.5003819133,1511968.9557355011,1504758.4163067131,1513478.0398107013
Haryana,2021,1539206.7082856637,1530856.931389117,1547556.4851822106,1526436.8264984868,1551976.5900728407
Haryana,2022,1567773.6443060364,1551074.4622422208,1584472.826369852,1542234.449242553,1593312.8393695198
Haryana,2023,1595194.851233529,1567341.1672385638,1623048.535228494,1552596.3176008284,1637793.3848662295
Haryana,2024,1621753.3194061487,1580048.1853493636,1663458.453462934,1557970.8209727143,1685535.8178395831
Haryana,2025,1647662.1417211355,1589543.60567736,1705780.677764911,1558777.5111354075,1736546.7723068635
Haryana,2026,1673081.7780131733,1596130.8059385451,1750032.7500878014,1555395.4219612214,1790768.1340651251
Haryana,2027,1698133.0552027295,1600071.3647670336,1796194.7456384255,1548160.6415406975,1848105.4688647615
Haryana,2028,1722906.9564616268,1601589.6550129086,1844224.257910345,1537368.1549542274,1908445.7579690262
Haryana,2029,1747471.992495284,1600877.799910587,1894066.1850799809,1523275.5219563579,1971668.46303421
Haryana,2030,1771879.752148792,1598100.3962359985,1945659.1080615853,1506107.1621079827,2037652.3421896012
Himachal Pradesh,2020,491000.38241646334,488699.3254426546,493301.4393902721,487481.2194609538,494519.5453719729
Himachal Pradesh,2021,505044.5886757077,501790.4026955542,508298.7746558612,500067.7406958251,510021.4366555903
Himachal Pradesh,2022,519088.79493495205,515103.24734520464,523074.34252469946,512993.4258958952,525184.1639740089
Himachal Pradesh,2023,533133.0011941963,528530.8872465788,537735.1151418138,526094.6752831772,540171.3271052154
Himachal Pradesh,2024,547177.2074534406,542031.8876399044,552322.5272669769,539308.1198610222,555046.2950458591
Himachal Pradesh,2025,561221.413712685,555584.9982577808,566857.8291675892,552601.2601499818,569841.5672753882
Himachal Pradesh,2026,575265.6199719294,569177.5954666405,581353.6444772182,565954.78996854,584576.4499753187
Himachal Pradesh,2027,589309.8262311737,582801.4542708667,595818.1981914807,579356.1302714085,599263.5221909389
Himachal Pradesh,2028,603354.0324904181,596450.8615689918,610257.2034118443,592796.5436238893,613911.5213569468
Himachal Pradesh,2029,617398.2387496624,610121.6576866123,624674.8198127125,606269.6683529624,628526.8091463625
Himachal Pradesh,2030,631442.4450089067,623810.7024055524,639074.1876122609,619770.7019093633,643114.18810845
Jammu & Kashmir and Ladakh,2020,656928.0401859543,654979.6777276635,658876.4026442451,653948.2769444674,659907.8034274412
Jammu & Kashmir and Ladakh,2021,669054.9697458044,664698.2988442578,673411.640647351,662392.0165809847,675717.9229106242
Jammu & Kashmir and Ladakh,2022,681181.8993056546,673891.794521478,688472.0040898311,670032.6461623078,692331.1524490013
Jammu & Kashmir and Ladakh,2023,693308.8288655047,682637.2081794842,703980.4495515252,676987.993431634,709629.6642993754
Jammu & Kashmir and Ladakh,2024,705435.7584253548,690986.3157098652,719885.2011408445,683337.2427819367,727534.274068773
Jammu & Kashmir and Ladakh,2025,717562.687985205,698976.4947098788,736148.8812605311,689137.5583152495,745987.8176551604
Jammu & Kashmir and Ladakh,2026,729689.6175450551,706636.2820457671,752742.9530443432,694432.5834022874,764946.6516878228
Jammu & Kashmir and Ladakh,2027,741816.5471049052,713988.3650074193,769644.7292023912,699257.0152587427,784376.0789510678
Jammu & Kashmir and Ladakh,2028,753943.4766647554,721051.3326691163,786835.6206603944,703639.283420403,804247.6699091077
Jammu & Kashmir and Ladakh,2029,766070.4062246055,727840.774215946,804300.038233265,707603.2294884506,824537.5829607605
Jammu & Kashmir and Ladakh,2030,778197.3357844556,734370.0060454492,822024.6655234621,711169.2191354699,845225.4524334414
Jharkhand,2020,1738270.9038702147,1735953.2955067996,1740588.5122336298,1734726.4277487001,1741815.3799917293
Jharkhand,2021,1791434.0841806992,1788156.4910008882,1794711.6773605102,1786421.4379781457,1796446.7303832527
Jharkhand,2022,1844597.2644911837,1840583.049053702,1848611.4799286653,1838458.0517625057,1850736.4772198617
Jharkhand,2023,1897760.4448016684,1893125.228074838,1902395.6615284989,1890671.492558639,1904849.3970446978
Jharkhand,2024,1950923.625112153,1945741.2952663344,1956105.9549579713,1942997.9355598213,1958849.3146644845
Jharkhand,2025,2004086.8054226376,1998409.8475086635,2009763.7633366117,1995404.6475194476,2012768.9633258276
Jharkhand,2026,2057249.985733122,2051118.170367082,2063381.801099162,2047872.1833875875,2066627.7880786567
Jharkhand,2027,2110413.1660436066,2103857.9796839845,2116968.3524032286,2100387.8736384995,2120438.4584487136
Jharkhand,2028,2163576.3463540915,2156623.521263846,2170529.171444337,2152942.9179895474,2174209.7747186357
Jharkhand,2029,2216739.5266645756,2209410.6055119284,2224068.4478172227,2205530.9090085095,2227948.1443206416
Jharkhand,2030,2269902.7069750605,2262216.069622623,2277589.344327498,2258147.0096016224,2281658.4043484987
Karnataka,2020,3908234.7543323855,3901315.783182342,3915153.725482429,3897653.1011014488,3918816.407563322
Karnataka,2021,3964284.6812114604,3943710.1478354195,3984859.2145875013,3932818.647772048,3995750.7146508726
Karnataka,2022,4015397.3867961257,3973701.0450953743,4057093.728496877,3951628.335110859,4079166.4384813923
Karnataka,2023,4062558.077649257,3992172.5734431776,4132943.5818553367,3954912.7382133957,4170203.4170851186
Karnataka,2024,4106555.3655461655,4000010.841223379,4213099.889868952,3943609.5769903436,4269501.154101987
Karnataka,2025,4148020.4973294865,3998053.7049313644,4297987.289727609,3918666.0804805574,4377374.914178416
Karnataka,2026,4187458.7565732333,3987070.5958049116,4387846.917341555,3880991.511248438,4493926.001898028
Karnataka,2027,4225274.599146208,3967756.5507954685,4482792.647496947,3831434.730578759,4619114.467713656
Karnataka,2028,4261791.77305492,3940733.2991754087,4582850.246934432,3770775.209497582,4752808.336612258
Karnataka,2029,4297269.423436835,3906553.7818151833,4687985.0650584875,3699721.4149417803,4894817.431931891
Karnataka,2030,4331914.983854232,3865708.1741764075,4798121.793532057,3618913.1968933195,5044916.770815145
Kerala,2020,3030902.751050008,3027325.1344302506,3034480.3676697654,3025431.2585921627,3036374.2435078532
Kerala,2021,3099824.1087474567,3091824.3147882456,3107823.902706668,3087589.4796733377,3112058.7378215757
Kerala,2022,3168745.4664449054,3155359.2507925443,3182131.6820972664,3148273.016273332,3189217.916616479
Kerala,2023,3237666.824142354,3218071.410894888,3257262.23738982,3207698.225718543,3267635.422566165
Kerala,2024,3306588.181839803,3280055.866876948,3333120.4968026574,3266010.5077517773,3347165.8559278282
Kerala,2025,3375509.5395372515,3341381.2521249764,3409637.8269495266,3323314.8280792963,3427704.2509952066
Kerala,2026,3444430.8972347,3402099.9665230424,3486761.827946358,3379691.325408222,3509170.469061178
Kerala,2027,3513352.254932149,3462253.668862621,3564450.841001677,3435203.7113621244,3591500.7985021733
Kerala,2028,3582273.6126295975,3521876.492721276,3642670.732537919,3489904.18874305,3674643.036516145
Kerala,2029,3651194.9703270462,3580997.0632284954,3721392.877425597,3543836.535908701,3758553.4047453916
Kerala,2030,3720116.328024495,3639639.8321822267,3800592.823866763,3597038.1486569685,3843194.5073920214
Madhya Pradesh,2020,3897205.48977775,3888699.187939568,3905711.791615932,3884196.223749989,3910214.7558055106
Madhya Pradesh,2021,3993171.31141159,3974150.642264284,4012191.9805588955,3964081.708236138,4022260.914587042
Madhya Pradesh,2022,4089137.13304543,4057309.4659384685,4120964.800152391,4040460.916716151,4137813.3493747087
Madhya Pradesh,2023,4185102.95467927,4138512.020702072,4231693.888656468,4113848.2700793673,4256357.639279172
Madhya Pradesh,2024,4281068.776313109,4217984.353490007,4344153.199136212,4184589.477279804,4377548.075346414
Madhya Pradesh,2025,4377034.597946949,4295889.650121683,4458179.545772215,4252934.1094915215,4501135.086402377
Madhya Pradesh,2026,4473000.419580789,4372352.498913169,4573648.34024841,4319072.708101188,4626928.131060391
Madhya Pradesh,2027,4568966.241214629,4447471.949676714,4690460.532752545,4383156.756724373,4754775.725704885
Madhya Pradesh,2028,4664932.062848469,4521329.159938248,4808534.965758691,4445310.375086081,4884553.750610857
